subject,L1,item,response
sp_281,Spanish,1,high
sp_281,Spanish,2,high
sp_281,Spanish,3,high
sp_281,Spanish,4,low
sp_281,Spanish,5,low
sp_281,Spanish,6,high
sp_281,Spanish,7,high
sp_281,Spanish,8,low
sp_281,Spanish,9,low
sp_281,Spanish,10,low
sp_281,Spanish,11,high
sp_281,Spanish,12,high
sp_281,Spanish,13,high
sp_281,Spanish,14,low
sp_281,Spanish,15,high
sp_281,Spanish,16,high
sp_281,Spanish,17,high
sp_281,Spanish,18,high
sp_281,Spanish,19,low
sp_281,Spanish,20,high
sp_343,Spanish,1,high
sp_343,Spanish,2,high
sp_343,Spanish,3,high
sp_343,Spanish,4,high
sp_343,Spanish,5,high
sp_343,Spanish,6,high
sp_343,Spanish,7,low
sp_343,Spanish,8,low
sp_343,Spanish,9,high
sp_343,Spanish,10,high
sp_343,Spanish,11,high
sp_343,Spanish,12,high
sp_343,Spanish,13,high
sp_343,Spanish,14,high
sp_343,Spanish,15,high
sp_343,Spanish,16,high
sp_343,Spanish,17,high
sp_343,Spanish,18,high
sp_343,Spanish,19,high
sp_343,Spanish,20,high
sp_411,Spanish,1,high
sp_411,Spanish,2,high
sp_411,Spanish,3,high
sp_411,Spanish,4,low
sp_411,Spanish,5,high
sp_411,Spanish,6,low
sp_411,Spanish,7,high
sp_411,Spanish,8,high
sp_411,Spanish,9,high
sp_411,Spanish,10,high
sp_411,Spanish,11,high
sp_411,Spanish,12,low
sp_411,Spanish,13,low
sp_411,Spanish,14,low
sp_411,Spanish,15,high
sp_411,Spanish,16,low
sp_411,Spanish,17,high
sp_411,Spanish,18,high
sp_411,Spanish,19,high
sp_411,Spanish,20,high
sp_450,Spanish,1,high
sp_450,Spanish,2,high
sp_450,Spanish,3,low
sp_450,Spanish,4,high
sp_450,Spanish,5,high
sp_450,Spanish,6,high
sp_450,Spanish,7,low
sp_450,Spanish,8,high
sp_450,Spanish,9,high
sp_450,Spanish,10,high
sp_450,Spanish,11,low
sp_450,Spanish,12,high
sp_450,Spanish,13,high
sp_450,Spanish,14,low
sp_450,Spanish,15,high
sp_450,Spanish,16,low
sp_450,Spanish,17,high
sp_450,Spanish,18,low
sp_450,Spanish,19,high
sp_450,Spanish,20,high
sp_978,Spanish,1,high
sp_978,Spanish,2,high
sp_978,Spanish,3,low
sp_978,Spanish,4,high
sp_978,Spanish,5,low
sp_978,Spanish,6,high
sp_978,Spanish,7,high
sp_978,Spanish,8,high
sp_978,Spanish,9,low
sp_978,Spanish,10,high
sp_978,Spanish,11,high
sp_978,Spanish,12,low
sp_978,Spanish,13,high
sp_978,Spanish,14,high
sp_978,Spanish,15,low
sp_978,Spanish,16,high
sp_978,Spanish,17,high
sp_978,Spanish,18,high
sp_978,Spanish,19,high
sp_978,Spanish,20,high
en_472,English,1,low
en_472,English,2,high
en_472,English,3,low
en_472,English,4,high
en_472,English,5,high
en_472,English,6,high
en_472,English,7,high
en_472,English,8,high
en_472,English,9,low
en_472,English,10,high
en_472,English,11,high
en_472,English,12,high
en_472,English,13,high
en_472,English,14,low
en_472,English,15,low
en_472,English,16,high
en_472,English,17,low
en_472,English,18,high
en_472,English,19,high
en_472,English,20,high
en_737,English,1,low
en_737,English,2,high
en_737,English,3,high
en_737,English,4,low
en_737,English,5,low
en_737,English,6,high
en_737,English,7,high
en_737,English,8,high
en_737,English,9,high
en_737,English,10,low
en_737,English,11,low
en_737,English,12,low
en_737,English,13,low
en_737,English,14,high
en_737,English,15,low
en_737,English,16,low
en_737,English,17,high
en_737,English,18,high
en_737,English,19,low
en_737,English,20,low
en_795,English,1,high
en_795,English,2,high
en_795,English,3,high
en_795,English,4,low
en_795,English,5,low
en_795,English,6,high
en_795,English,7,low
en_795,English,8,low
en_795,English,9,high
en_795,English,10,high
en_795,English,11,high
en_795,English,12,low
en_795,English,13,low
en_795,English,14,high
en_795,English,15,low
en_795,English,16,high
en_795,English,17,low
en_795,English,18,high
en_795,English,19,low
en_795,English,20,high
en_866,English,1,high
en_866,English,2,low
en_866,English,3,high
en_866,English,4,high
en_866,English,5,high
en_866,English,6,high
en_866,English,7,low
en_866,English,8,high
en_866,English,9,low
en_866,English,10,high
en_866,English,11,low
en_866,English,12,high
en_866,English,13,high
en_866,English,14,high
en_866,English,15,high
en_866,English,16,high
en_866,English,17,high
en_866,English,18,high
en_866,English,19,low
en_866,English,20,high
en_976,English,1,high
en_976,English,2,low
en_976,English,3,high
en_976,English,4,low
en_976,English,5,high
en_976,English,6,low
en_976,English,7,high
en_976,English,8,high
en_976,English,9,low
en_976,English,10,high
en_976,English,11,low
en_976,English,12,low
en_976,English,13,high
en_976,English,14,high
en_976,English,15,high
en_976,English,16,high
en_976,English,17,high
en_976,English,18,low
en_976,English,19,high
en_976,English,20,low
